"","Sr. No.","Month","EMP ID","EMP Email","F_Name","L_Name","Full Name","Studio","Country","Date of Hire","Job Title","Org","Client","Manager Email","Manager EMP ID","Manager Name","Type of movement","Date of Exit","Reason for Leaving","Attrition Type","Employment type","Work Authorisation"
"1",1,2019-03-01,100001,"anne.greene@softvision.com","Anne","Greene","Greene, Anne","Toronto","Canada",2019-03-15,"Account Manager","DeliveryOps","DelOpsB","dominic.lee@softvision.com",109006,"Lee, Dominic","Entry","-","-","-","Full time employee","Citizen"
"2",2,2019-08-01,100002,"isaac.hardacre@softvision.com","Isaac","Hardacre","Hardacre, Isaac","BUENOS AIRES","Argentina",2019-08-17,"ACCOUNTANT ANALYST","DeliveryOps","DelOpsA","stephen.ogden@softvision.com",109005,"Ogden, Stephen","Entry","-","-","-","Full time employee","Citizen"
"3",3,2019-01-01,100003,"dorothy.clarkson@softvision.com","Dorothy","Clarkson","Clarkson, Dorothy","Alpharetta","USA",2019-01-22,"ADMINISTRATIVE","Support","Shared Services","megan.jackson@softvision.com",109009,"Jackson, Megan","Entry","-","-","-","Full time employee","Permanent Resident"
"4",4,2019-04-01,100004,"sonia.hemmings@softvision.com","Sonia","Hemmings","Hemmings, Sonia","Vancouver, BC","Canada",2019-04-15,"Administrative Assistant","Support","Shared Services","megan.jackson@softvision.com",109009,"Jackson, Megan","Entry","-","-","-","Full time employee","Citizen"
"5",5,2019-09-01,100005,"maria.jackson@softvision.com","Maria","Jackson","Jackson, Maria","Alpharetta","USA",2019-09-10,"Analyst - Systems","Delivery","DelB","max.gibson@softvision.com",109002,"Gibson, Max","Entry","-","-","-","Contractor","Citizen"
"6",6,2019-06-01,100006,"austin.thomson@softvision.com","Austin","Thomson","Thomson, Austin","Ardmore","USA",2019-06-07,"App. Dev.","Delivery","DelA","paul.kelly@softvision.com",109001,"Kelly, Paul","Entry","-","-","-","Full time employee","Citizen"
"7",7,2019-03-01,100007,"boris.powell@softvision.com","Boris","Powell","Powell, Boris","Atlanta","USA",2019-03-27,"Application Security Engineer","Delivery","DelA","paul.kelly@softvision.com",109001,"Kelly, Paul","Entry","-","-","-","Contractor","Permanent Resident"
"8",8,2019-05-01,100008,"christian.chapman@softvision.com","Christian","Chapman","Chapman, Christian","Austin","USA",2019-05-09,"Application Support Analyst","Delivery","DelD","blake.knox@softvision.com",109004,"Knox, Blake","Entry","-","-","-","Full time employee","Permanent Resident"
"9",9,2019-06-01,100009,"wanda.abraham@softvision.com","Wanda","Abraham","Abraham, Wanda","Avon","USA",2019-06-27,"Architect","Delivery","DelB","max.gibson@softvision.com",109002,"Gibson, Max","Entry","-","-","-","Full time employee","Citizen"
"10",10,2019-06-01,100010,"amanda.abraham@softvision.com","Amanda","Abraham","Abraham, Amanda","Avon Lake","USA",2019-06-22,"Associate Client Partner","DeliveryOps","DelOpsB","dominic.lee@softvision.com",109006,"Lee, Dominic","Entry","-","-","-","Full time employee","Citizen"
"11",11,2019-09-01,100011,"jacob.mathis@softvision.com","Jacob","Mathis","Mathis, Jacob","Barberton","USA",2019-09-15,"Associate Customer Experience","DeliveryOps","DelOpsA","stephen.ogden@softvision.com",109005,"Ogden, Stephen","Entry","-","-","-","Full time employee","Work Permit"
"12",12,2019-08-01,100012,"alexandra.bailey@softvision.com","Alexandra","Bailey","Bailey, Alexandra","Bellingham","USA",2019-08-02,"Associate Project Manager","DeliveryOps","DelOpsA","stephen.ogden@softvision.com",109005,"Ogden, Stephen","Entry","-","-","-","Full time employee","Work Permit"
"13",13,2019-09-01,100013,"donna.reid@softvision.com","Donna","Reid","Reid, Donna","Bethel","USA",2019-09-08,"Associate -TA","Support","Shared Services","megan.jackson@softvision.com",109009,"Jackson, Megan","Entry","-","-","-","Full time employee","Work Permit"
"14",14,2019-02-01,100014,"samantha.roberts@softvision.com","Samantha","Roberts","Roberts, Samantha","Blaine","USA",2012-01-26,"Associate Tech Lead","Delivery","DelB","max.gibson@softvision.com",109002,"Gibson, Max","Exit","43501","Better opportunity","Voluntary","Full time employee","Citizen"
"15",15,2019-01-01,100015,"emma.lewis@softvision.com","Emma","Lewis","Lewis, Emma","Blue Springs","USA",2014-12-15,"Associate Technical Architect","Delivery","DelB","max.gibson@softvision.com",109002,"Gibson, Max","Exit","43489","Better compensation","Voluntary","Full time employee","Citizen"
"16",16,2019-02-01,100016,"olivia.hodges@softvision.com","Olivia","Hodges","Hodges, Olivia","Irvine","USA",2018-03-19,"Associate Technical Lead","Delivery","DelB","max.gibson@softvision.com",109002,"Gibson, Max","Exit","43523","Better compensation","Voluntary","Full time employee","Citizen"
"17",17,2019-08-01,100017,"tim.grant@softvision.com","Tim","Grant","Grant, Tim","Jacksonville","USA",2011-03-15,"Associate Technical Manager","Delivery","DelB","max.gibson@softvision.com",109002,"Gibson, Max","Exit","43689","Better compensation","Voluntary","Full time employee","Citizen"
"18",18,2019-01-01,100018,"michelle.brown@softvision.com","Michelle","Brown","Brown, Michelle","Johns Creek","USA",2013-02-26,"Associate Test Lead","Delivery","DelB","max.gibson@softvision.com",109002,"Gibson, Max","Exit","43476","Better compensation","Voluntary","Full time employee","Citizen"
"19",19,2019-01-01,100019,"william.poole@softvision.com","William","Poole","Poole, William","Key Largo","USA",2016-06-18,"Associate Trainee","Delivery","DelB","max.gibson@softvision.com",109002,"Gibson, Max","Exit","43468","Performance","Involuntary","Full time employee","Citizen"
"20",20,2019-02-01,100020,"cameron.greene@softvision.com","Cameron","Greene","Greene, Cameron","Kissimmee","USA",2018-10-08,"Associate Vice President","DeliveryOps","DelOpsB","dominic.lee@softvision.com",109006,"Lee, Dominic","Exit","43515","Project end","Involuntary","Full time employee","Citizen"
